image_id,patient_id,image_path,processed_path,width,height,format,composition_label,label_source
US_00001,,gallstones\1Gallstones\a1 (1).jpg,gallstones\1Gallstones\a1 (1).jpg,1200,900,JPEG,,
US_00002,,gallstones\1Gallstones\a1 (10).jpg,gallstones\1Gallstones\a1 (10).jpg,1200,900,JPEG,,
US_00003,,gallstones\1Gallstones\a1 (11).jpg,gallstones\1Gallstones\a1 (11).jpg,1200,900,JPEG,,
US_00004,,gallstones\1Gallstones\a1 (12).jpg,gallstones\1Gallstones\a1 (12).jpg,1200,900,JPEG,,
US_00005,,gallstones\1Gallstones\a1 (13).jpg,gallstones\1Gallstones\a1 (13).jpg,1200,900,JPEG,,
US_00006,,gallstones\1Gallstones\a1 (14).jpg,gallstones\1Gallstones\a1 (14).jpg,1200,900,JPEG,,
US_00007,,gallstones\1Gallstones\a1 (15).jpg,gallstones\1Gallstones\a1 (15).jpg,1200,900,JPEG,,
US_00008,,gallstones\1Gallstones\a1 (16).jpg,gallstones\1Gallstones\a1 (16).jpg,1200,900,JPEG,,
US_00009,,gallstones\1Gallstones\a1 (17).jpg,gallstones\1Gallstones\a1 (17).jpg,1200,900,JPEG,,
US_00010,,gallstones\1Gallstones\a1 (18).jpg,gallstones\1Gallstones\a1 (18).jpg,1200,900,JPEG,,
US_00011,,gallstones\1Gallstones\a1 (19).jpg,gallstones\1Gallstones\a1 (19).jpg,1200,900,JPEG,,
US_00012,,gallstones\1Gallstones\a1 (2).jpg,gallstones\1Gallstones\a1 (2).jpg,1200,900,JPEG,,
US_00013,,gallstones\1Gallstones\a1 (20).jpg,gallstones\1Gallstones\a1 (20).jpg,1200,900,JPEG,,
US_00014,,gallstones\1Gallstones\a1 (21).jpg,gallstones\1Gallstones\a1 (21).jpg,1200,900,JPEG,,
US_00015,,gallstones\1Gallstones\a1 (22).jpg,gallstones\1Gallstones\a1 (22).jpg,1200,900,JPEG,,
US_00016,,gallstones\1Gallstones\a1 (23).jpg,gallstones\1Gallstones\a1 (23).jpg,1200,900,JPEG,,
US_00017,,gallstones\1Gallstones\a1 (24).jpg,gallstones\1Gallstones\a1 (24).jpg,1200,900,JPEG,,
US_00018,,gallstones\1Gallstones\a1 (25).jpg,gallstones\1Gallstones\a1 (25).jpg,1200,900,JPEG,,
US_00019,,gallstones\1Gallstones\a1 (26).jpg,gallstones\1Gallstones\a1 (26).jpg,1200,900,JPEG,,
US_00020,,gallstones\1Gallstones\a1 (27).jpg,gallstones\1Gallstones\a1 (27).jpg,1200,900,JPEG,,
US_00021,,gallstones\1Gallstones\a1 (28).jpg,gallstones\1Gallstones\a1 (28).jpg,1200,900,JPEG,,
US_00022,,gallstones\1Gallstones\a1 (29).jpg,gallstones\1Gallstones\a1 (29).jpg,1200,900,JPEG,,
